,Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,open1:Output,open3:Output,open2:Output,open4:Output,short1:Output,short2:Output,short3:Output,short4:Output,OPEN,SHORT
95,95,95,1.09968,401.5802040611978,-1.321752945503919,-31.22523762282969,0,0,0,0,0,0,0,0,0,0
96,96,96,1.0997,401.4312569914253,-1.2590915030669347,-29.27963566596535,0,0,0,0,0,0,0,0,0,0
97,97,97,1.09972,401.2821363463648,-1.131983665840424,-27.33287779920208,0,0,0,0,0,0,0,0,0,0
98,98,98,1.09974,401.13254066062586,-1.0072665114348152,-25.38504087724228,0,0,0,0,0,0,0,0,0,0
99,99,99,1.0997599999999998,400.9825023578952,-0.9516895383223872,-23.43620179733481,0,0,0,0,0,0,0,0,0,0
100,100,100,1.09978,400.8323328556025,-0.898296296580391,-21.48643749629196,0,0,0,0,0,0,0,0,0,0
101,101,101,1.0998,400.68206437210193,-0.7802238389646104,-19.53582494750507,0,0,0,0,0,0,0,0,0,0
102,102,102,1.09982,400.53142600270974,-0.7309761440628944,-17.584441157782287,0,0,0,0,0,0,0,0,0,0
103,103,103,1.09984,400.3807256890963,-0.6169475433053065,-15.632363164449638,0,0,0,0,0,0,0,0,0,0
104,104,104,1.09986,400.22982021677103,-0.5715507412605771,-13.679668032168488,0,0,0,0,0,0,0,0,0,0
105,105,105,1.09988,400.0788030674584,-0.5279600255435672,-11.726432850034438,0,0,0,0,0,0,0,0,0,0
106,106,106,1.0999,399.9277250394949,-0.4861099401934642,-9.77273472841034,0,0,0,0,0,0,0,0,0,0
107,107,107,1.09992,399.776641451795,-0.3793051011270906,-7.818650795935091,0,0,0,0,0,0,0,0,0,0
108,108,108,1.09994,399.62549327308426,-0.2075549693428447,-5.864258196531774,0,0,0,0,0,0,0,0,0,0
109,109,109,1.09996,399.474224775578,-0.170613277592116,-3.909634086238393,0,0,0,0,0,0,0,0,0,0
110,110,110,1.09998,399.32297767273405,-0.1351684016108535,-1.954855630303336,0,0,0,0,0,0,0,0,0,0
111,111,111,1.1,399.1717721359192,-0.0346356426735551,-1.5244678221313565e-11,0,0,0,0,0,0,0,0,0,0
112,112,112,1.10002,399.0205871368421,-0.0685492130538145,1.9548556302905329,0,0,0,0,0,0,0,0,0,0
113,113,113,1.10004,398.8694437163627,-0.1037582154729306,3.9096340862255903,0,0,0,0,0,0,0,0,0,0
114,114,114,1.10006,398.718356797706,-0.073759046287032,5.864258196518973,0,0,0,0,0,0,0,0,0,0
115,115,115,1.10008,398.56734378674014,0.0214211391832878,7.818650795922294,0,0,0,0,0,0,0,0,0,0
116,116,116,1.1001,398.4164290486394,0.1817495192705269,9.772734728379866,0,0,0,0,0,0,0,0,0,0
117,117,117,1.10012,398.26562995460296,0.407194447568071,11.726432850021643,0,0,0,0,0,0,0,0,0,0
118,118,118,1.10014,398.1150497417136,0.6313679099045449,13.679668032155696,0,0,0,0,0,0,0,0,0,0
119,119,119,1.10016,397.96488759055313,0.7216464747200024,15.632363164454516,0,0,0,0,0,0,0,0,0,0
120,120,120,1.10018,397.8148941432425,0.8771151586090387,17.58444115778716,0,0,0,0,0,0,0,0,0,0
121,121,121,1.1001999999999998,397.6653441423816,0.965175098625012,19.53582494747464,0,0,0,0,0,0,0,0,0,0
122,122,122,1.10022,397.51621300637294,0.985923293189039,21.48643749629683,0,0,0,0,0,0,0,0,0,0
123,123,123,1.10024,397.3672194484083,1.071909531924114,23.436201797322045,0,0,0,0,0,0,0,0,0,0
124,124,124,1.10026,397.21868456802906,1.0906765249614547,25.385040877247143,0,0,0,0,0,0,0,0,0,0
125,125,125,1.10028,397.0702993524672,1.1746691664913385,27.332877799206937,0,0,0,0,0,0,0,0,0,0
126,126,126,1.1003,396.9223437176064,1.2576792892024329,29.27963566597021,0,0,0,0,0,0,0,0,0,0
127,127,127,1.10032,396.77476951259627,1.3397163797314275,31.225237622834552,0,0,0,0,0,0,0,0,0,0
128,128,128,1.10034,396.6277550242416,1.3546856799298848,33.16960686078372,0,0,0,0,0,0,0,0,0,0
129,129,129,1.10036,396.4809114898984,1.4348229296793589,35.112666619467085,0,0,0,0,0,0,0,0,0,0
130,130,130,1.10038,396.33439671900834,1.5800625598522031,37.05434019017724,0,0,0,0,0,0,0,0,0,0
131,131,131,1.1004,396.1888985373661,1.5922440175097787,38.99455091900145,0,0,0,0,0,0,0,0,0,0
132,132,132,1.10042,396.0436780787192,1.6035123386917154,40.93322220970719,0,0,0,0,0,0,0,0,0,0
133,133,133,1.10044,395.8986453498732,1.679846971391418,42.870277526889005,0,0,0,0,0,0,0,0,0,0
134,134,134,1.10046,395.7539972993824,1.821172312395957,44.80564039893724,0,0,0,0,0,0,0,0,0,0
135,135,135,1.10048,395.6101676254604,1.9614763561045223,46.739234421004575,0,0,0,0,0,0,0,0,0,0
136,136,136,1.1005,395.4673381257576,2.0348330796702028,48.67098325814485,0,0,0,0,0,0,0,0,0,0
137,137,137,1.10052,395.3250757002705,2.107177322399592,50.60081064818667,0,0,0,0,0,0,0,0,0,0
138,138,138,1.10054,395.1832480616099,2.2443535721462933,52.52864040486661,0,0,0,0,0,0,0,0,0,0
139,139,139,1.10056,395.0425224145834,2.314593884852856,54.45439642078421,0,0,0,0,0,0,0,0,0,0
140,140,140,1.10058,394.9025580675252,2.3837552050927893,56.378002670354576,0,0,0,0,0,0,0,0,0,0
141,141,141,1.1006,394.7632317578224,2.4518056200996927,58.29938321293151,0,0,0,0,0,0,0,0,0,0
142,142,142,1.10062,394.6246835346189,2.518715994140595,60.21846219566636,0,0,0,0,0,0,0,0,0,0
143,143,143,1.1006399999999998,394.486778115681,2.5844485390644665,62.13516385662426,0,0,0,0,0,0,0,0,0,0
144,144,144,1.10066,394.3497073780428,2.648969232107104,64.04941252772288,0,0,0,0,0,0,0,0,0,0
145,145,145,1.10068,394.2133259975488,2.7122341033079524,65.96113263766773,0,0,0,0,0,0,0,0,0,0
146,146,146,1.1007,394.07778450587375,2.774202304298344,67.87024871507415,0,0,0,0,0,0,0,0,0,0
147,147,147,1.10072,393.9429251826255,2.834824040699337,69.776685391222,0,0,0,0,0,0,0,0,0,0
148,148,148,1.10074,393.8085938458193,2.9596851252191527,71.68036740335914,0,0,0,0,0,0,0,0,0,0
149,149,149,1.10076,393.6755160652232,3.083061972615917,73.58121959729318,0,0,0,0,0,0,0,0,0,0
150,150,150,1.10078,393.5440753066516,3.0737159105225,75.47916693066877,0,0,0,0,0,0,0,0,0,0
151,151,151,1.1008,393.41281401587855,3.128411214682806,77.37413447579213,0,0,0,0,0,0,0,1,0,1
152,152,152,1.10082,393.2821004358205,3.2470276286864967,79.26604742255499,0,0,0,0,0,0,0,1,0,1
153,153,153,1.10084,393.15273380799255,3.363919041040496,81.15483108150792,0,0,0,0,0,0,0,1,0,1
154,154,154,1.10086,393.0249325069675,3.413511351210003,83.040410886672,0,0,0,0,0,0,0,1,0,1
155,155,155,1.10088,392.89787552486337,3.461269528953021,84.92271239860227,0,0,0,0,0,0,0,1,0,1
156,156,156,1.1009,392.7713717912961,3.572582111602177,86.80166130727503,0,0,0,0,0,0,0,1,0,1
157,157,157,1.10092,392.6458250324941,3.747314102325713,88.67718343497064,0,0,0,0,0,0,0,1,0,1
158,158,158,1.10094,392.5230608318576,3.723655193919005,90.54920473932084,0,0,0,0,0,0,0,1,0,1
159,159,159,1.10096,392.4003977541696,3.763276591378285,92.41765131609608,0,0,0,0,0,0,0,1,0,1
160,160,160,1.1009799999999998,392.27827624315125,3.866039216763329,94.28244940224172,0,0,0,0,0,0,0,1,0,1
161,161,161,1.101,392.1571355864239,4.0317981998756505,96.14352537873928,0,0,0,0,0,0,0,1,0,1
162,162,162,1.10102,392.0386575196238,4.06439497022228,98.00080577346212,0,0,0,0,0,0,0,1,0,1
163,163,163,1.10104,391.92097842902166,4.094468193319512,99.85421726419406,0,0,0,0,0,0,0,1,0,1
164,164,164,1.10106,391.803808012821,4.187219738643401,101.70368668138948,0,0,0,0,0,0,0,1,0,1
165,165,165,1.10108,391.6876202457749,4.342495119288926,103.549141011196,0,0,0,0,0,0,0,1,0,1
166,166,166,1.1011,391.573649277076,4.4296156503788815,105.39050739820328,0,0,0,0,0,0,0,1,0,1
167,167,167,1.10112,391.461547012126,4.448521802268552,107.22771314843595,0,0,0,0,0,0,0,1,0,1
168,168,168,1.10114,391.34989500624494,4.52959281900244,109.06068573217335,0,0,0,0,0,0,0,1,0,1
169,169,169,1.10116,391.2397238555973,4.607463336845036,110.88935278676333,0,0,0,0,0,0,0,1,0,1
170,170,170,1.10118,391.1307507317199,4.682009780769508,112.71364211959477,0,0,0,0,0,0,0,1,0,1
171,171,171,1.1012,391.02333034203406,4.753115409755114,114.53348171081548,0,0,0,0,0,0,0,1,0,1
172,172,172,1.10122,390.91716739927614,4.820649437435461,116.34879971629104,0,0,0,0,0,0,0,1,0,1
173,173,173,1.10124,390.8124567991401,4.884486609041328,118.15952447039126,0,0,0,0,0,0,0,1,0,1
174,174,174,1.10126,390.7088865677629,4.944491371375155,119.96558448877056,0,0,0,0,0,0,0,1,0,1
175,175,175,1.10128,390.6061762173583,5.065630014623605,121.76690847132076,0,0,0,0,0,0,0,1,0,1
176,176,176,1.1013,390.5059194164314,5.117559638415081,123.56342530477404,0,0,0,0,0,0,0,1,0,1
177,177,177,1.10132,390.40705021604975,5.165243140119088,125.35506406578708,0,0,0,0,0,0,0,1,0,1
178,178,178,1.10134,390.3092259455376,5.2085334106368135,127.1417540235454,0,0,0,0,0,0,0,1,0,1
179,179,179,1.10136,390.2121489881327,5.312319754317708,128.92342464252405,0,0,0,0,0,0,0,1,0,1
180,180,180,1.10138,390.11711575388046,5.411396752339067,130.7000055854662,0,0,0,0,0,0,0,1,0,1
181,181,181,1.1014,390.0237815803504,5.5056010615353,132.471426715966,0,0,0,0,0,0,0,1,0,1
