,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time / s,Vin:Measured voltage,Vo:Measured voltage,IL:Measured current,open1,open2,open3,open4,short1,short2,short3,short4,OPEN,SHORT,OPEN_NOISE,SHORT_NOISE,NORMAL_NOISE
92,92,92,92,92,92,92,1.17352,-278.0981862220287,390.564492434821,-11.44895577510273,0,0,0,0,0,0,0,0,0,0,0,0,1
93,93,93,93,93,93,93,1.17354,-278.96922125643107,390.6634354623864,-11.487822785726236,0,0,0,0,0,0,0,0,0,0,0,0,1
94,94,94,94,94,94,94,1.17356,-279.8292430636422,390.7634633632839,-11.553182482943765,0,0,0,0,0,0,0,0,0,0,0,0,1
95,95,95,95,95,95,95,1.1735799999999998,-280.6782176914817,390.8651413002363,-11.644632269235604,0,0,0,0,0,0,0,0,0,0,0,0,1
96,96,96,96,96,96,96,1.1736,-281.5161116238924,390.9713410304184,-11.631463628167642,0,0,0,0,0,0,0,0,0,0,0,0,1
97,97,97,97,97,97,97,1.17362,-282.34289178224145,391.0774899514548,-11.643492667710133,0,0,0,0,0,0,0,0,0,0,0,0,1
98,98,98,98,98,98,98,1.17364,-283.15852552667883,391.1841336254146,-11.680340704289232,0,0,0,0,0,0,0,0,0,0,0,0,1
99,99,99,99,99,99,99,1.17366,-283.96298065736613,391.2918089935868,-11.74161501901932,0,0,0,0,0,0,0,0,0,0,0,0,1
100,100,100,100,100,100,100,1.17368,-284.7562254158068,391.4023674733373,-11.761691106691249,0,0,0,0,0,0,0,0,0,0,0,0,1
101,101,101,101,101,101,101,1.1737,-285.53822848604165,391.5141854713464,-11.740103700325404,0,0,0,0,0,0,0,0,0,0,0,0,1
102,102,102,102,102,102,102,1.17372,-286.30895899593565,391.6257410247747,-11.741679542290406,0,0,0,0,0,0,0,0,0,0,0,0,1
103,103,103,103,103,103,103,1.17374,-287.06838651837506,391.7375423699826,-11.766040489046851,0,0,0,0,0,0,0,0,0,0,0,0,1
104,104,104,104,104,104,104,1.17376,-287.81648107244763,391.850089040646,-11.81279516309148,0,0,0,0,0,0,0,0,0,0,0,0,1
105,105,105,105,105,105,105,1.17378,-288.55321312467487,391.96387158090334,-11.881539184297749,0,0,0,0,0,0,0,0,0,0,0,0,1
106,106,106,106,106,106,106,1.1738,-289.2785535901235,392.0793712638031,-11.971855408190374,0,0,0,0,0,0,0,0,0,0,0,0,1
107,107,107,107,107,107,107,1.17382,-289.9924738336008,392.1986111038034,-12.017965230146173,0,0,0,0,0,0,0,0,0,0,0,0,1
108,108,108,108,108,108,108,1.17384,-290.6949456707705,392.3198826011536,-12.01937059560598,0,0,0,0,0,0,0,0,0,0,0,0,1
109,109,109,109,109,109,109,1.17386,-291.38594136921563,392.4413680913628,-12.041006469313718,0,0,0,0,0,0,0,0,0,0,0,0,1
110,110,110,110,110,110,110,1.17388,-292.0654336496468,392.5635166339307,-12.082477284931365,0,0,0,0,0,0,0,0,0,0,0,0,1
111,111,111,111,111,111,111,1.1739,-292.7333956868412,392.68676811656667,-12.14337564495144,0,0,0,0,0,0,0,0,0,0,0,0,1
112,112,112,112,112,112,112,1.17392,-293.3898011108139,392.81355668116527,-12.092378335598235,0,0,0,0,0,0,0,0,0,0,0,0,1
113,113,113,113,113,113,113,1.17394,-294.0346240078084,392.9387307327761,-12.125388184697323,0,0,0,0,0,0,0,0,0,0,0,0,1
114,114,114,114,114,114,114,1.17396,-294.6678389213092,393.0654342679428,-12.111082557345789,0,0,0,0,0,0,0,0,0,0,0,0,1
115,115,115,115,115,115,115,1.17398,-295.2894208530872,393.1919675189532,-12.114526145253995,0,0,0,0,0,0,0,0,0,0,0,0,1
116,116,116,116,116,116,116,1.174,-295.8993452641409,393.3187294424605,-12.135328559887345,0,0,0,0,0,0,0,0,0,0,0,0,1
117,117,117,117,117,117,117,1.1740199999999998,-296.4975880757044,393.4461098518988,-12.1730887752665,0,0,0,0,0,0,0,0,0,0,0,0,1
118,118,118,118,118,118,118,1.17404,-297.0841256701812,393.57448918203136,-12.227395375735297,0,0,0,0,0,0,0,0,0,0,0,0,1
119,119,119,119,119,119,119,1.17406,-297.65893489206087,393.7042382592932,-12.297826809553706,0,0,0,0,0,0,0,0,0,0,0,0,1
120,120,120,120,120,120,120,1.17408,-298.22199304886976,393.8357180780415,-12.383951648168065,0,0,0,0,0,0,0,0,0,0,0,0,1
121,121,121,121,121,121,121,1.1741,-298.77327791202595,393.9692795828472,-12.485328851007948,0,0,0,0,0,0,0,0,0,0,0,0,1
122,122,122,122,122,122,122,1.17412,-299.31276771775686,394.1077250602726,-12.470173938568928,0,0,0,0,0,0,0,0,0,0,0,0,1
123,123,123,123,123,123,123,1.17414,-299.840441167919,394.2459349675684,-12.4693022034002,0,0,0,0,0,0,0,0,0,0,0,0,1
