Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,short1:Output,short2:Output,short3:Output,short4:Output,open1:Output,open3:Output,open2:Output,open4:Output
1.16048,395.7367631954712,1.9718365415206032,46.739234421002166,0,0,0,0,0,0,0,0
1.1605,395.5940507624008,1.9787721807140044,48.67098325812497,0,0,0,0,0,0,0,0
1.16052,395.4515356387496,2.050626594132922,50.60081064820172,0,0,0,0,0,0,0,0
1.16054,395.3094536188679,2.1873141722431604,52.52864040488164,0,0,0,0,0,0,0,0
1.16056,395.1683197258269,2.3228867351071254,54.45439642079922,0,0,0,0,0,0,0,0
1.16058,395.0283404936888,2.391479691114706,56.378002670369575,0,0,0,0,0,0,0,0
1.1606,394.8889980630073,2.458941028199761,58.29938321292912,0,0,0,0,0,0,0,0
1.16062,394.7504322171173,2.5252416267873654,60.21846219568132,0,0,0,0,0,0,0,0
1.16064,394.61250739869655,2.5903437159266547,62.1351638566392,0,0,0,0,0,0,0,0
1.16066,394.47541520052727,2.6542132932332656,64.04941252773779,0,0,0,0,0,0,0,0
1.16068,394.3390100049767,2.7168064104930822,65.96113263768264,0,0,0,0,0,0,0,0
1.1606999999999998,394.2034420411175,2.7780822445931976,67.87024871505452,0,0,0,0,0,0,0,0
1.16072,394.0685532768039,2.837991028417371,69.77668539123687,0,0,0,0,0,0,0,0
1.16074,393.9341888389478,2.962139534763552,71.68036740333955,0,0,0,0,0,0,0,0
1.16076,393.8010745630705,3.0847832753082507,73.58121959729078,0,0,0,0,0,0,0,0
1.16078,393.6695938722984,3.0746417759904285,75.47916693066641,0,0,0,0,0,0,0,0
1.1608,393.5382880868991,3.128542125504325,77.37413447578977,0,0,0,0,0,0,0,0
1.16082,393.4075254546899,3.2463642010032467,79.26604742255262,0,0,0,0,0,0,0,0
1.16084,393.2781049998672,3.362440921053067,81.15483108148851,0,0,0,0,0,0,0,0
1.16086,393.1502443798244,3.4111773462563733,83.04041088666966,0,0,0,0,0,0,0,0
1.16088,393.02312230251647,3.458059409550605,84.92271239859993,0,0,0,0,0,0,0,0
1.1609,392.8965479264125,3.5684965861064226,86.80166130727268,0,0,0,0,0,0,0,0
