,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time / s,Vin:Measured voltage,Vo:Measured voltage,IL:Measured current,open1,open2,open3,open4,short1,short2,short3,short4,OPEN,SHORT,OPEN_NOISE,SHORT_NOISE,NORMAL_NOISE
75,75,75,75,75,75,75,75,1.11158,-148.1705558404255,389.2877453963232,-6.009285811782473,0,0,0,0,0,0,0,0,0,0,0,0,1
76,76,76,76,76,76,76,76,1.1116,-149.8865675202877,389.2101251672551,-6.04520188646144,0,0,0,0,0,0,0,0,0,0,0,0,1
77,77,77,77,77,77,77,77,1.11162,-151.59666193512663,389.1332876735484,-6.139185539964997,0,0,0,0,0,0,0,0,0,0,0,0,1
78,78,78,78,78,78,78,78,1.11164,-153.30077157331198,389.0578998483304,-6.29101228472358,0,0,0,0,0,0,0,0,0,0,0,0,1
79,79,79,79,79,79,79,79,1.11166,-154.9988291595286,388.98617742198905,-6.370801856409398,0,0,0,0,0,0,0,0,0,0,0,0,1
80,80,80,80,80,80,80,80,1.11168,-156.69076765738583,388.9165364335879,-6.378365889540763,0,0,0,0,0,0,0,0,0,0,0,0,1
81,81,81,81,81,81,81,81,1.1117,-158.37652027201827,388.8473655159865,-6.443144017017651,0,0,0,0,0,0,0,0,0,0,0,0,1
82,82,82,82,82,82,82,82,1.11172,-160.05602045284476,388.77935646523616,-6.56490662944879,0,0,0,0,0,0,0,0,0,0,0,0,1
83,83,83,83,83,83,83,83,1.11174,-161.72920189599807,388.71388669561736,-6.678634545692254,0,0,0,0,0,0,0,0,0,0,0,0,1
84,84,84,84,84,84,84,84,1.11176,-163.39599854720052,388.6519292661275,-6.654569524349566,0,0,0,0,0,0,0,0,0,0,0,0,1
85,85,85,85,85,85,85,85,1.11178,-165.0563446041891,388.5900525178929,-6.686824056400673,0,0,0,0,0,0,0,0,0,0,0,0,1
86,86,86,86,86,86,86,86,1.1118,-166.7101745192844,388.5289715894869,-6.775165023037366,0,0,0,0,0,0,0,0,0,0,0,0,1
87,87,87,87,87,87,87,87,1.11182,-168.35742300215813,388.46939830485337,-6.9193471821360735,0,0,0,0,0,0,0,0,0,0,0,0,1
88,88,88,88,88,88,88,88,1.11184,-169.99802502223096,388.41374153345225,-6.989660744344872,0,0,0,0,0,0,0,0,0,0,0,0,1
89,89,89,89,89,89,89,89,1.1118599999999998,-171.6319158113592,388.36022405811167,-6.985879343588918,0,0,0,0,0,0,0,0,0,0,0,0,1
90,90,90,90,90,90,90,90,1.11188,-173.25903086634685,388.307048777063,-7.037227199359736,0,0,0,0,0,0,0,0,0,0,0,0,1
91,91,91,91,91,91,91,91,1.1119,-174.8793059514482,388.25494882279446,-7.1434567146326495,0,0,0,0,0,0,0,0,0,0,0,0,1
92,92,92,92,92,92,92,92,1.11192,-176.4926771010065,388.20465366379966,-7.304307477152096,0,0,0,0,0,0,0,0,0,0,0,0,1
93,93,93,93,93,93,93,93,1.11194,-178.0990806218622,388.1592508310234,-7.325454051058486,0,0,0,0,0,0,0,0,0,0,0,0,1
94,94,94,94,94,94,94,94,1.11196,-179.6984530959839,388.1148471417473,-7.336026793906854,0,0,0,0,0,0,0,0,0,0,0,0,1
95,95,95,95,95,95,95,95,1.11198,-181.290731382856,388.0709876171552,-7.400464891083949,0,0,0,0,0,0,0,0,0,0,0,0,1
96,96,96,96,96,96,96,96,1.112,-182.8758526220725,388.028420934752,-7.518507059548948,0,0,0,0,0,0,0,0,0,0,0,0,1
97,97,97,97,97,97,97,97,1.11202,-184.45375423577548,387.9878917527964,-7.689878524714983,0,0,0,0,0,0,0,0,0,0,0,0,1
98,98,98,98,98,98,98,98,1.11204,-186.0243739310824,387.9529662168725,-7.655692311671482,0,0,0,0,0,0,0,0,0,0,0,0,1
99,99,99,99,99,99,99,99,1.11206,-187.58764970264545,387.91794504760577,-7.674299915952004,0,0,0,0,0,0,0,0,0,0,0,0,1
100,100,100,100,100,100,100,100,1.11208,-189.1435198349856,387.8835941562626,-7.745441778964576,0,0,0,0,0,0,0,0,0,0,0,0,1
101,101,101,101,101,101,101,101,1.1121,-190.69192290502824,387.850675285646,-7.868844114518077,0,0,0,0,0,0,0,0,0,0,0,0,1
102,102,102,102,102,102,102,102,1.11212,-192.23279778448548,387.8207889310616,-7.979591704504246,0,0,0,0,0,0,0,0,0,0,0,0,1
103,103,103,103,103,103,103,103,1.11214,-193.7660836422276,387.7949852587783,-7.948150854115256,0,0,0,0,0,0,0,0,0,0,0,0,1
104,104,104,104,104,104,104,104,1.11216,-195.291719946782,387.76910869545407,-7.968125018819155,0,0,0,0,0,0,0,0,0,0,0,0,1
105,105,105,105,105,105,105,105,1.11218,-196.80964646861204,387.7439360922165,-8.03924439641013,0,0,0,0,0,0,0,0,0,0,0,0,1
106,106,106,106,106,106,106,106,1.1122,-198.3198032825917,387.720239805974,-8.161224317926607,0,0,0,0,0,0,0,0,0,0,0,0,1
107,107,107,107,107,107,107,107,1.11222,-199.82213077032927,387.6999116132001,-8.269161050189846,0,0,0,0,0,0,0,0,0,0,0,0,1
108,108,108,108,108,108,108,108,1.11224,-201.31656962248084,387.6835063650989,-8.233533997642342,0,0,0,0,0,0,0,0,0,0,0,0,1
109,109,109,109,109,109,109,109,1.11226,-202.80306084118627,387.66694363966405,-8.247877942234929,0,0,0,0,0,0,0,0,0,0,0,0,1
110,110,110,110,110,110,110,110,1.11228,-204.2815457422908,387.65100858048606,-8.31191492828194,0,0,0,0,0,0,0,0,0,0,0,0,1
111,111,111,111,111,111,111,111,1.1122999999999998,-205.7519659577555,387.6364815325681,-8.42535152701488,0,0,0,0,0,0,0,0,0,0,0,0,1
112,112,112,112,112,112,112,112,1.11232,-207.2142634379344,387.62413780114406,-8.58787893489277,0,0,0,0,0,0,0,0,0,0,0,0,1
113,113,113,113,113,113,113,113,1.11234,-208.66838045376088,387.6174957232416,-8.605397640223702,0,0,0,0,0,0,0,0,0,0,0,0,1
114,114,114,114,114,114,114,114,1.11236,-210.11425959926385,387.6119250844416,-8.606764116452934,0,0,0,0,0,0,0,0,0,0,0,0,1
115,115,115,115,115,115,115,115,1.11238,-211.5518437935449,387.6067765470128,-8.656282326506995,0,0,0,0,0,0,0,0,0,0,0,0,1
116,116,116,116,116,116,116,116,1.1124,-212.9810762832808,387.6028352917589,-8.753652791855366,0,0,0,0,0,0,0,0,0,0,0,0,1
117,117,117,117,117,117,117,117,1.11242,-214.40190064479404,387.6008811719339,-8.898560109124311,0,0,0,0,0,0,0,0,0,0,0,0,1
118,118,118,118,118,118,118,118,1.11244,-215.8142607863848,387.6045223591095,-8.8969055146579,0,0,0,0,0,0,0,0,0,0,0,0,1
119,119,119,119,119,119,119,119,1.11246,-217.2181009505057,387.60893548935246,-8.877523365600998,0,0,0,0,0,0,0,0,0,0,0,0,1
120,120,120,120,120,120,120,120,1.11248,-218.61336571592528,387.6134166825869,-8.904710859791061,0,0,0,0,0,0,0,0,0,0,0,0,1
121,121,121,121,121,121,121,121,1.1125,-220.00000000000503,387.618753476417,-8.978165793441534,0,0,0,0,0,0,0,0,0,0,0,0,1
122,122,122,122,122,122,122,122,1.11252,-221.3779490607726,387.6257278431465,-9.097569528688478,0,0,0,0,0,0,0,0,0,0,0,0,1
123,123,123,123,123,123,123,123,1.11254,-222.7471584991711,387.6351159140714,-9.262587113847454,0,0,0,0,0,0,0,0,0,0,0,0,1
124,124,124,124,124,124,124,124,1.11256,-224.10757426116865,387.65039913642136,-9.279078878981714,0,0,0,0,0,0,0,0,0,0,0,0,1
125,125,125,125,125,125,125,125,1.11258,-225.45914263985568,387.6670337427229,-9.275866171686442,0,0,0,0,0,0,0,0,0,0,0,0,1
126,126,126,126,126,126,126,126,1.1126,-226.80181027765133,387.68400056948497,-9.317231417318506,0,0,0,0,0,0,0,0,0,0,0,0,1
127,127,127,127,127,127,127,127,1.11262,-228.13552416831203,387.7020800472381,-9.402856844024644,0,0,0,0,0,0,0,0,0,0,0,0,1
128,128,128,128,128,128,128,128,1.11264,-229.46023165910924,387.7220465794819,-9.532407934090696,0,0,0,0,0,0,0,0,0,0,0,0,1
129,129,129,129,129,129,129,129,1.11266,-230.7758804528713,387.746995798112,-9.576311166802055,0,0,0,0,0,0,0,0,0,0,0,0,1
130,130,130,130,130,130,130,130,1.11268,-232.0824186100129,387.7742555986915,-9.534172191405323,0,0,0,0,0,0,0,0,0,0,0,0,1
131,131,131,131,131,131,131,131,1.1127,-233.37979455066807,387.8011317165952,-9.534894718880496,0,0,0,0,0,0,0,0,0,0,0,0,1
132,132,132,132,132,132,132,132,1.11272,-234.6679570566332,387.8284006204941,-9.578166691470162,0,0,0,0,0,0,0,0,0,0,0,0,1
133,133,133,133,133,133,133,133,1.1127399999999998,-235.9468552734696,387.8568326563024,-9.663658924289397,0,0,0,0,0,0,0,0,0,0,0,0,1
134,134,134,134,134,134,134,134,1.11276,-237.21643871247693,387.88719173941854,-9.791025245295176,0,0,0,0,0,0,0,0,0,0,0,0,1
135,135,135,135,135,135,135,135,1.11278,-238.47665725265213,387.92131504895394,-9.895261732657314,0,0,0,0,0,0,0,0,0,0,0,0,1
136,136,136,136,136,136,136,136,1.1128,-239.72746114274776,387.9595195733298,-9.9113295490997,0,0,0,0,0,0,0,0,0,0,0,0,1
137,137,137,137,137,137,137,137,1.11282,-240.96880100314536,387.9990990857781,-9.90348494406608,0,0,0,0,0,0,0,0,0,0,0,0,1
138,138,138,138,138,138,138,138,1.11284,-242.20062782789523,388.0388985655928,-9.936039497450288,0,0,0,0,0,0,0,0,0,0,0,0,1
139,139,139,139,139,139,139,139,1.11286,-243.4228929865613,388.0796736586748,-10.00865783398206,0,0,0,0,0,0,0,0,0,0,0,0,1
140,140,140,140,140,140,140,140,1.11288,-244.63554822621896,388.1221732638286,-10.12098745971714,0,0,0,0,0,0,0,0,0,0,0,0,1
141,141,141,141,141,141,141,141,1.1129,-245.83854567333765,388.1682596710312,-10.207977375940088,0,0,0,0,0,0,0,0,0,0,0,0,1
142,142,142,142,142,142,142,142,1.11292,-247.0318378355836,388.2168540557644,-10.269222557782312,0,0,0,0,0,0,0,0,0,0,0,0,1
143,143,143,143,143,143,143,143,1.11294,-248.21537760389032,388.26905848949104,-10.239641194332174,0,0,0,0,0,0,0,0,0,0,0,0,1
144,144,144,144,144,144,144,144,1.11296,-249.3891182540806,388.321042379206,-10.248239281354689,0,0,0,0,0,0,0,0,0,0,0,0,1
145,145,145,145,145,145,145,145,1.11298,-250.5530134489049,388.3735428786208,-10.294681675832544,0,0,0,0,0,0,0,0,0,0,0,0,1
146,146,146,146,146,146,146,146,1.113,-251.70701723978408,388.42729019713846,-10.378616085432402,0,0,0,0,0,0,0,0,0,0,0,0,1
147,147,147,147,147,147,147,147,1.11302,-252.8510840686038,388.4830072715623,-10.499673235192102,0,0,0,0,0,0,0,0,0,0,0,0,1
148,148,148,148,148,148,148,148,1.11304,-253.9851687695852,388.54310168798594,-10.527979923330264,0,0,0,0,0,0,0,0,0,0,0,0,1
149,149,149,149,149,149,149,149,1.11306,-255.1092265709855,388.60409000187536,-10.592606649784924,0,0,0,0,0,0,0,0,0,0,0,0,1
150,150,150,150,150,150,150,150,1.1130799999999998,-256.22321309693785,388.6688250701656,-10.563659442337364,0,0,0,0,0,0,0,0,0,0,0,0,1
151,151,151,151,151,151,151,151,1.1131,-257.32708436917164,388.7333146311412,-10.57025782717676,0,0,0,0,0,0,0,0,0,0,0,0,1
152,152,152,152,152,152,152,152,1.11312,-258.4207968087191,388.7982661231959,-10.612057498110996,0,0,0,0,0,0,0,0,0,0,0,0,1
153,153,153,153,153,153,153,153,1.11314,-259.50430723770563,388.8643796627426,-10.688697259257472,0,0,0,0,0,0,0,0,0,0,0,0,1
154,154,154,154,154,154,154,154,1.11316,-260.5775728809752,388.9323477110421,-10.799799205099497,0,0,0,0,0,0,0,0,0,0,0,0,1
155,155,155,155,155,155,155,155,1.11318,-261.64055136785737,389.0046013078716,-10.815329136018091,0,0,0,0,0,0,0,0,0,0,0,0,1
156,156,156,156,156,156,156,156,1.1132,-262.69320073376235,389.07748567880367,-10.86449671312272,0,0,0,0,0,0,0,0,0,0,0,0,1
157,157,157,157,157,157,157,157,1.11322,-263.73547942190527,389.15310367114745,-10.882088659877162,0,0,0,0,0,0,0,0,0,0,0,0,1
158,158,158,158,158,158,158,158,1.11324,-264.7673462849174,389.23014541352825,-10.867680288750696,0,0,0,0,0,0,0,0,0,0,0,0,1
159,159,159,159,159,159,159,159,1.11326,-265.78876058644323,389.3071979291532,-10.885748118329753,0,0,0,0,0,0,0,0,0,0,0,0,1
160,160,160,160,160,160,160,160,1.11328,-266.7996820028136,389.3849265928324,-10.935931811298888,0,0,0,0,0,0,0,0,0,0,0,0,1
161,161,161,161,161,161,161,161,1.1133,-267.80007062456355,389.4639889354328,-11.017854738865257,0,0,0,0,0,0,0,0,0,0,0,0,1
162,162,162,162,162,162,162,162,1.11332,-268.7898869580725,389.5450343132291,-11.131124177871488,0,0,0,0,0,0,0,0,0,0,0,0,1
163,163,163,163,163,163,163,163,1.11334,-269.76909192709525,389.63051540868486,-11.145484428444163,0,0,0,0,0,0,0,0,0,0,0,0,1
164,164,164,164,164,164,164,164,1.11336,-270.7376468742786,389.71658441273365,-11.190332842562846,0,0,0,0,0,0,0,0,0,0,0,0,1
165,165,165,165,165,165,165,165,1.11338,-271.6955135627492,389.80387451293257,-11.265289830214323,0,0,0,0,0,0,0,0,0,0,0,0,1
166,166,166,166,166,166,166,166,1.1134,-272.64265417755286,389.8952601610431,-11.240025892526068,0,0,0,0,0,0,0,0,0,0,0,0,1
167,167,167,167,167,167,167,167,1.11342,-273.5790313272087,389.9863877727266,-11.24402703090436,0,0,0,0,0,0,0,0,0,0,0,0,1
168,168,168,168,168,168,168,168,1.11344,-274.5046080451585,390.0778742588341,-11.276929744801338,0,0,0,0,0,0,0,0,0,0,0,0,1
169,169,169,169,169,169,169,169,1.11346,-275.41934779120146,390.17032842275694,-11.338355045045189,0,0,0,0,0,0,0,0,0,0,0,0,1
170,170,170,170,170,170,170,170,1.11348,-276.3232144530035,390.26435063721135,-11.427908662569358,0,0,0,0,0,0,0,0,0,0,0,0,1
171,171,171,171,171,171,171,171,1.1135,-277.21617234741564,390.36181856486434,-11.480136240814616,0,0,0,0,0,0,0,0,0,0,0,0,1
172,172,172,172,172,172,172,172,1.1135199999999998,-278.09818622202187,390.4612450521665,-11.494573648177044,0,0,0,0,0,0,0,0,0,0,0,0,1
173,173,173,173,173,173,173,173,1.11354,-278.9692212564321,390.5612346178966,-11.535867371019563,0,0,0,0,0,0,0,0,0,0,0,0,1
