,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Time / s,Vo:Measured voltage,IL:Measured current,Vin:Measured voltage,open1,open2,Relay4,Relay3,short1,short2,Relay2,Relay1,OPEN,SHORT,OPEN_NOISE,SHORT_NOISE,NORMAL_NOISE
201,201,201,201,201,1.18094,391.12204,3.1166456,126.96442,0,0,0,0,0,0,0,0,0,0,0,0,1
202,202,202,202,202,1.18096,394.27704,4.2613707,127.39667,0,0,0,0,0,0,0,0,0,0,0,0,1
203,203,203,203,203,1.18098,388.88113,4.028219,26.210724,0,0,0,0,0,0,0,0,0,0,0,0,1
204,204,204,204,204,1.181,391.74625,3.8398914,102.58455,0,0,0,0,0,0,0,0,0,0,0,0,1
205,205,205,205,205,1.18102,393.62164,1.5518327,143.25977,0,0,0,0,0,0,0,0,0,0,0,0,1
206,206,206,206,206,1.18104,394.88757,5.178528,72.959564,0,0,0,0,0,0,0,0,0,0,0,0,1
207,207,207,207,207,1.18106,390.07596,3.2697082,145.58875,0,0,0,0,0,0,0,0,0,0,0,0,1
208,208,208,208,208,1.18108,391.9588,4.506999,117.59859,0,0,0,0,0,0,0,0,0,0,0,0,1
209,209,209,209,209,1.1811,389.96054,1.4373622,116.78136,0,0,0,0,0,0,0,0,0,0,0,0,1
210,210,210,210,210,1.18112,392.01074,3.2044535,83.73199,0,0,0,0,0,0,0,0,0,0,0,0,1
211,211,211,211,211,1.18114,391.34634,5.797757,83.591705,0,0,0,0,0,0,0,0,0,0,0,0,1
212,212,212,212,212,1.18116,388.06073,6.649145,184.37227,0,0,0,0,0,0,0,0,0,0,0,0,1
213,213,213,213,213,1.18118,390.59415,5.180809,65.99385,0,0,0,0,0,0,0,0,0,0,0,0,1
214,214,214,214,214,1.1812,388.73776,6.6718664,91.208534,0,0,0,0,0,0,0,0,0,0,0,0,1
215,215,215,215,215,1.18122,389.34006,5.97114,5.196472,0,0,0,0,0,0,0,0,0,0,0,0,1
216,216,216,216,216,1.1812399999999998,392.86343,2.4122286,59.42194,0,0,0,0,0,0,0,0,0,0,0,0,1
217,217,217,217,217,1.18126,391.313,5.0097938,140.0549,0,0,0,0,0,0,0,0,0,0,0,0,1
218,218,218,218,218,1.18128,390.06537,8.678833,117.54332,0,0,0,0,0,0,0,0,0,0,0,0,1
219,219,219,219,219,1.1813,390.2712,3.4561906,146.16702,0,0,0,0,0,0,0,0,0,0,0,0,1
220,220,220,220,220,1.18132,390.30502,9.515357,166.33237,0,0,0,0,0,0,0,0,0,0,0,0,1
221,221,221,221,221,1.18134,390.82632,5.301312,112.494545,0,0,0,0,0,0,0,0,0,0,0,0,1
222,222,222,222,222,1.18136,392.84717,6.943454,154.90038,0,0,0,0,0,0,0,0,0,0,0,0,1
223,223,223,223,223,1.18138,391.6751,6.1970916,113.4061,0,0,0,0,0,0,0,0,0,0,0,0,1
224,224,224,224,224,1.1814,390.73868,5.626342,84.07764,0,0,0,0,0,0,0,0,0,0,0,0,1
225,225,225,225,225,1.18142,387.59488,3.6671314,104.45498,0,0,0,0,0,0,0,0,0,0,0,0,1
226,226,226,226,226,1.18144,390.88742,8.182003,119.3452,0,0,0,0,0,0,0,0,0,0,0,0,1
227,227,227,227,227,1.18146,387.18478,7.243873,93.771515,0,0,0,0,0,0,0,0,0,0,0,0,1
228,228,228,228,228,1.18148,386.879,3.0157645,112.8696,0,0,0,0,0,0,0,0,0,0,0,0,1
229,229,229,229,229,1.1815,388.58163,4.4187665,120.67027,0,0,0,0,0,0,0,0,0,0,0,0,1
230,230,230,230,230,1.18152,392.9324,6.8648705,169.71576,0,0,0,0,0,0,0,0,0,0,0,0,1
231,231,231,231,231,1.18154,385.80188,1.6787405,42.669807,0,0,0,0,0,0,0,0,0,0,0,0,1
232,232,232,232,232,1.18156,385.845,8.32781,121.515976,0,0,0,0,0,0,0,0,0,0,0,0,1
